Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
contact tank & pumping station underslab pipework & ducts, manual handling, seek assistance from others to share the load
 service reservoir confined space entry – asbestos survey, manual handling, risk assessment to be carried out of manual handling tasks that can’t be eliminated
 service reservoir confined space entry – asbestos survey, ladder access, all ladders to be inspected every 3 months to check suitability and condition
construction of new caustic kiosk concrete slab, plant operations,trained and competent plant operatives correct training to be in place for lifting operations with excavators lift plans to be in place for all lifting operations pre-checks to be completed and any defects reported and recorded
trial holes, noise, keep compressor covers closed when in use
gravity sewer and rising main, dust,assess the wind direction and dampen down or use dust suppression there may be an amount of saw cutting required a good uninterrupted supply of dust suppression water will have to be maintained at all times
dry side roof beam shutters steel fix and concrete, manual handling,correct lifting techniques to be used when lifting only manage what you are comfortable with two persons if required use mechanical means if required persons with a history of back problems must not lift and inform sm
 excavation works, unauthorised access,location of excavation to be marked on site then herras fenced off – double clipped with deep excavation signage visible trial trench excavation will be backfilled at the end of shift
constructing a concrete plinth to cap off storage pipe risers, use of cutting equipment, never use the side of the wheel unless it is designed for grinding purposes
excavate trial holes, unplanned cutting down and damage to trees and hedgerows working around trees and hedgerows, park plant & machinery in designated areas away from trees and hedgerows
winter working & driving conditions, vehicle/pedestrian routes, monitor weather forecasts and salt areas the night before when frost/snow is forecast if possible
winter working & driving conditions, vehicle/pedestrian routes, haul roads shall be maintained on a regular basis
site engineering & surveying including pre-start survey, manual handling, use plant to move materials as close to the point of use as possible to limit the distance that the loads need to be carried
use of cutting equipment and drills, use of drills," make sure you have no loose clothing which could get caught up in the drill, ensure gloves fit properly"
use of cutting equipment and drills, pollution/damage to ecological features and inhabitants due to use of hazardous substances," fire, first aid and spill clean-up equipment / containment measures shall be available appropriate to the hazardous substances encountered on site"
site engineering & surveying including pre-start survey, dust / noise / havs, ear protection to be worn for all cutting and breaking operations
280mm pe sdr11 rising main installation., visual inspection of pipes & fittings, damaged or worn pipe rubbers should not be used
280mm pe sdr11 rising main installation., burns, burns are to be cooled down using cold water and medical advice 
confined space entry into dry well and wet well, working at height,areas around removed lids to be fenced off if personnel need to look into a chamber they must be clipped to “something solid” with a fall restraint
call out procedure for temporary treatment plant, flooding on site due to hydraulic overload of temporary settlement plant, pumps to operate at a variable speed to deliver flows from 8 l/s to 24 l/s
winter working & driving conditions, vehicle/pedestrian routes, where practicable clear snow and ice from access roads and pedestrian routes
hand dug trial holes to locate services," excavation works – contact with services. risk of explosion, electrocution, and flooding.", all trial hole excavation works to locate services to be undertaken by hand digging only
hand dug trial holes to locate services, falls into excavated trial holes., deep excavation signs to be displayed
temporary wooden electrical enclosure build & install," hand tools (cuts, abrasions, minor injuries)"," ensure tools are cleaned, well maintained, and stored correctly"
civil works in new compound, failure of concrete path sub base not compacted sufficiently,"the formation will be excavated down to a suitable sound material, if sub grade is poor quality it will be excavated and replaced with compacted imported stone"
hand dug trial holes to locate services, falls into excavated trial holes., trial holes to be backfilled as soon as possible
hand dug trial holes to locate services, collapse of trial hole excavation., excavation depth should not exceed 1m approx
service trial holes, open excavation falls into excavation, work area fenced off and secured against unauthorised access
service trial holes, collapse of excavation,excavation sides to be made safe
gas check area entry, risk of inhalation of harmful gases/substances.," when working with mortar/cement materials, all ops will have correct ppe for task"
gas check area entry, loading & unloading of materials,only one vehicle at a time will be unloaded
pipework installation and grading work, working on slopes, gradient to be assessed by site engineer and profiled to show working grade 
pipework installation and grading work, use of abrasive wheel equipment, don’t exert heavy pressure on the wheel
digging trial holes, coshh, any training required to use the substance will be carried out before work commences
site clearance & reduced dig – caustic area, noise, try not to expose workmates to your noise
"concreting, reinstatement & footpath construction", manual handling," operative shall only lift what they feel is acceptable, for excessive loads, assistance should be sought"
site establishment , manual handling small plant and materials, all uneven ground will be levelled out further guidance refer to h&s manual handling at work
regrade embankment & lower existing mh," conflict with clients staff, contractors, members of public",pre-start meeting to be held with client
regrade embankment & lower existing mh, working on slopes, operatives to wear suitable footwear correctly laced to provide full ankle support
regrade embankment & lower existing mh, deliveries, when using these be aware it is fall protection and not fall prevention
regrade embankment & lower existing mh, noise, noise monitoring been undertaken daily as per noise monitoring plan for residents
working on floating pontoon, working from floating pontoons , works to cease if strong stream/flood alerts are issued
working on floating pontoon, watercourse drowning, it must be as follows: - shallow low flow watercourses (<200mm) – wellington boots acceptable - medium depth low flow watercourses (<800mm depth) – leg waders acceptable - watercourses (>800mm) – dry suits required retrieval point to be set up downstream of the working area permit to work on water to be issued prior working on or near water
embankment works and associated activities, damage to existing services, service drawings to be obtained were possible
site clearance & reduced dig – caustic area, overturning vehicles, operatives must be trained and competent in the use of the designated plant
manual handling activities, litter/waste blowing around site pollution due to site waste, segregate different waste materials and do not mix or dilute hazardous wastes
manual handling activities, noise/air pollution/disturbance to neighbours air/noise/fumes, turn exhausts away from neighbours
"excavation to sludge tank, formation and pipework ", excavation, permit to dig
civil modifications at existing chemical dosing shower position," disruption to client works live operational site, no process interruptions / changes / without authorisation",careful planning good liaison
civil modifications at existing chemical dosing shower position, noise, keep compressor covers closed when in use
civil modifications at existing chemical dosing shower position, noise, try not to expose workmates to your noise
 general duties, plant / operative collision,works areas to be segregated and pedestrians to be kept away from plant operatives to signal plant operators before approaching plant operatives shall always maintain visibility of plant when accessing works areas never walk or stand close behind mobile plant designated access routes to be in place and clearly marked morning briefing to establish access/egress requirements and exclusion zones for pedestrians
trial holes for connection points, damage to overhead/buried services, flame proof clothing to be worn
Breaking Out Concrete Strain Press Breaking Out,Hit by Debris,Heras fencing erected around the area to be broken out
Stacking and unstacking ,Unexpected moving items,Operatives to ensure materials are stacked in a logical manner and not too high to make it unstable
Over pressure of equipment ,Release of Kinetic energy through pipework movement,Fit anti whip restraint to temporary flexible test hose connection
Manual handling associated with valve operation GAS DRAW OFF MAIN PRESSURE TEST,Excessive force required to release seized valves,"Grease and test operation in advance, get assistance if necessary"
working with emulsion/tanker sprayer, splashing/spilling of emulsion,handle emulsion carefully
working with emulsion/tanker sprayer, impact from moving sprayer," operator to use reversing camera, mirrors and reversing pager at all times"
raising/ lowering service/gully covers and frames, impact from traffic or mobile plant, only competent personnel to operate mobile plant
"excavation to sludge tank, formation and pipework ", havs,all hand held and mobile plant to be assessed for vibration ratings system to be checked for any operatives with havs restriction times or exempt from use daily and weekly havs sheets to be given to operatives so they can record trigger times
 enabling works., syringes / sharps, all staff to remain vigilant and if encountered vacate the area 
 delivery of plant and materials., working on or near the line,"site support staff will set up the ssow in accordance with rule book task leader setting up a safe system of work within a possession be aware of the operational railway, lines open & blocked to traffic all staff will be trained and competent "
 delivery of plant and materials., working on or near the line, inexperienced staff will be accompanied by a mentor 
 enabling works., staff being struck by a train or otm, operatives briefed by the coss on the safe system of work 
installation of pin-kerbs.,"injury from use of powered tools, plant and work equipment havs, noise, dust / debris, fuel fire / spills, personal injury.",only to be used by persons trained and certified keep hands warm and regular rotation of operatives to share havs exposure trigger time to be pre-calculated and individuals times to be clearly monitored by the site supervisor/team leader above ear protection is mandatory 
installation of pin-kerbs.,plant / vehicle movements,"segregate pedestrian and vehicle routes banksman to manage plant and vehicle movements, escort while reversing "
installation of copers,working on or near the open line. interface with siemens depot and sidings.,local arrangement with siemens depot 
installation of pin-kerbs.,buried services,"ensure tools are properly stored, maintained and used according to manufacturers instructions "
installation of pin-kerbs.,contamination,contact with contaminated locations identified in the hazard directory to be avoided 
installation of copers,coshh,exposure times as per coshh assessment states 
installation of copers,lift process,puwer and loler checks records kept on site 
installation of copers,encountering damaged cables,"exclusion zone established around the damage cable, fences or barriers erected and all operatives briefed about the cable "
fencing works.,hazard substance.,trained and experienced operatives; coshh certs to be in place and operatives briefed 
fencing works.,buried services,buried services drawings to be attached to permit and briefed to all involved 
fencing works.,refuelling plant,ensure only trained personnel are used to refill any plant on site appropriate ppe is worn at all times 
fencing works.,excavation works,all excavations to be assessed by the site engineer / supervisor and battered as necessary 
fencing works.,working on or near the open line.,safety vortok barrier installed 
fencing works.,coshh,coshh to be stored in coshh approved area/storage containers 
 retaining wall installation, falling object.,exclusion zone to be set up around the works 
Handling Materials Road Crossing & laying in verge Water Mains,"Damage to skin, water contact. Mechanical lifting",Operatives to wear correct impervious gloves and correct puncture resistance gloves to protect skin
Handling Materials ,"Dermatitis, cuts and bruises ,Damage to skin, water contact",Operatives to wear correct impervious gloves and correct puncture resistance gloves to protect skin
Handling Materials Gas Bag Area,"Damage to skin, water contact. Mechanical lifting","Contaminated clothing, gloves etc to be removed, replaced and disposed of correctly"
 Digester Sludge Plinths & Ducts,Collapse of excavation,Forklift activity will be controlled under separate RAMs. A lift permit will also be issued if required
raising/ lowering service/gully covers and frames," injury from manual handling, bending and kneeling during lifting covers, frames, lifting bags of m90, water containers and old masonry ",Use machine aids where possible.
delivery of materials via rrv,excavation,A temporary works assessment to be carried out in advance and if required TWD to be implemented
 take up and re-lay or lay new kerbs/channel blocks/edgings/tactiles/paving slabs.,"Exposure to harmful substances M90, M60, OPC, Chemical retarders","Ensure use of appropriate task specific PPE including protective eyewear, gloves, dust masks, full arm and leg protection. Do not allow materials to contact exposed skin. Mix materials in wheelbarrow, mortar tub or mechanical mixer"
delivery of materials via rrv,syringes sharps,Operatives to be briefed on the presence of the sharps
Working at height ,"Broken bones, sprains or injury caused by falling.",Use an appropriate fall arrest system
Placing 150mm od sewer rising main,"contamination of soil, water course and ground.",gas oil to be stored in bunded tank all plant to be refuelled in designated area spill kits to be available in working area
service trial holes,"Contamination of soil, water course and ground with diesel, hydraulic oil, engine oil and petrol spills", spill kits and fire extinguishers to be in place at all time
placing Topsoil Strip and excavating service ducts. ,"Personal injury, death or damage to property, due to striking services (electric, fibre optic and sewage, etc).",HV Cables must be isolated before commencing any works 
 installation of tarmac strip," injury from use of powered tools, plant and work equipment / havs, noise, dust / debris, fuel fire / spills, personal injury.",Only to be used by persons trained and certified. Keep hands warm and ensure regular rotation of operatives to share HAVS exposure. Trigger time to be pre-calculated and individuals times to be clearly monitored by the site supervisor/team leader. If levels are above 85db ear protection is mandatory
use of pressure pump and other plant and machinery,Injury / death due to collision with plant and machinery, pressure testing equipment must be within the 3m pressure test exclusion zone
service trial holes,"contamination of soil, water course and ground.", plant nappies and spill kits to be in place at all times
service trial holes, coshh,"all substances to be stored as given in the manufacturers recommendations, labels must be clear and legible on all containers"
site clearance & reduced dig caustic area,"drowning, works beside existing lagoon",Minimum of 4 meters from waters edge. Buoyancy aid to be in place by fencing during the works
site clearance & reduced dig – caustic area, damage to local landscape. disposal points coshh – disposal & usage,coshh data sheets to be provided
site establishment , plant movement,Do not pass machines unless the driver has acknowledged you and advised to pass.
excavation works.,excavation,excavations in the track support zone during possession with track hand back
Excavation Road Crossing,Refuelling,All refuelling procedures will be carried out over a plant nappy with a spill kit on hand to contain any spills not handled by the plant nappy
installation of lighting columns,use of power tools,all electrical portable power tools should carry current PAT test certificate
 removal of palisade fencing at linden avenue and nwl boundary., working at height,"trained, competent operatives with cpcs"
General Use of Road Planer Milling Operations,Crushing or entrapment when extending elevator., Wear appropriate PPE
laying 80mm ductile and valving, conflict with existing services,the work area will be out of bounds until the service has been repaired and the area is handed back as being safe by the service provider
Manual Handling,Pulled muscles / back problems or Personal injury, Always use mechanical aids where possible
 compound maintenance works, contamination/leptospirosis, hands must be washed before eating/drinking
rrv platform demolition,coshh,coshh assessments to be completed for all products on site
 excavation and backfilling works., plant / equipment loading damages existing platform construction,compaction plant limitations to comply with the restrictions stated on the approved permanent works design 
 excavation and backfilling works., working in proximity of live ohle and live bare feeder., works on station platforms controlled by site keeper or barriers to prevent encroaching 
 excavation and backfilling works., working on or near the open line. interface with depot and sidings., coss appointed for works on or near the line 
 excavation and backfilling works., excavation works,all excavations to be assessed by the engineer / supervisor and battered as necessary 
 excavation and backfilling works., working in proximity of live ohle and live bare feeder., do not oversail the site boundary 
 installation of stick-on tactiles, encountering damaged cables,remote visual inspection to determine damage to cables before inspection/measurement 
 excavation and backfilling works., staff being struck by a train or otm, careful planning of work 
 installation of stick-on tactiles, refuelling plant,ensure only trained personnel are used to refill any plant on site appropriate ppe is worn at all times 
 installation of stick-on tactiles, syringes / sharps, do not disturb if encountered 
camera survey of 350mm washwater main that passes under poly dosing plant, plant operations / movements,agreed traffic routes to be used (tmp) hi visibility clothing to be worn at all times banksman to be designated and used use pedestrian routes toolbox talk on ‘thumbs up’ procedure segregate working areas from non essential personnel
excavate trench to allow the installation of temporary electric cables," excavation works – contact with services. risk of explosion, electrocution, and flooding.",service location plans obtained and referred to
dust suppression for bulk earthworks," nesting birds, bats, badgers, reptiles and amphibians, gcn, otter and water vole. also bio security. ecology","refer to environmental action plan and update regularly nesting birds, bats, badgers, reptiles and amphibians, gcn, otter and water vole bio security, tbt will be carried out"
dust suppression for bulk earthworks, persons struck by plant., keep mirrors and windows clean and adjust to suit driver
dust suppression for bulk earthworks, persons struck by plant., do not approach machines unless driver has eye contact
hand dug trial holes to locate services, contamination of the existing watercourses fuel spillage, refuel on plant nappy or drip tray
removal of dwarf wall, litter blowing around site windblown waste/litter,waste streaming introduced enclosed/covered skips and bins provided
removal of dwarf wall, damage to tree roots,aecom technical note to be followed when working in tree protection areas
 site set-up, manual handling, where necessary share the load with a colleague
 site set-up, security, cctv remote monitored cameras installed on site
pipework installation and grading work, use of abrasive wheel equipment," always wear the correct grade of dust masks when cutting concrete, even when dust suppression is used"
winter working, wintery conditions on public roads, ensure all drivers and persons travelling have mobile phone + warm clothes in the event of getting stranded
digging trial holes, excavation fencing and site signage,fencing to be delivered close to area of work manual handling to be reduced (use mechanical aids) signage to be mounted on sign boards / fencing all excavations up to 1metre deep will have metal pedestrian barriers in place as edge protection
over pumping, contamination of surface water / water courses / treatment works fuel spillages, all fuel tanks to be stored at least 100m away from bore holes footprint but not less than 50m fuel tanks to be kept locked at all time to stop unauthorised access
over pumping, working in close proximity to excavator, driver to understand who is in area of influence of excavator and what their role is
pipework installation and grading work, silt deposits pollution release of groundwater from chambers and rainwater runoff, ensure hardstanding’s are kept clean & tidy and swept on a regular basis
working on floating pontoon, working from floating pontoons , the working activities will cease if any movement or settlement is noted when working from the pontoon
pipework installation and grading work, litter/waste blowing around site pollution due to site waste, recycle waste materials where possible
working on floating pontoon, working from floating pontoons , works to stopped if it is noted that the pontoon loses horizontality
working on floating pontoon, working from floating pontoons , different ways of access are not allowed
"concreting, reinstatement & footpath construction", access and egress for emergence vehicles,deliveries to be ordered with set dates and times to reduce the risk of blocking up of the access
"concreting, reinstatement & footpath construction", noise, try not to expose workmates to your noise
site establishment , access and egress for emergence vehicles,no parking will be permitted on the access road at any time no plant or materials to be left on the access road
regrade embankment & lower existing mh, nuisance noise,only work within agreed site hours background noise readings have been taken and further noise assessments will be monitored
working on floating pontoon, working from floating pontoons , statutory inspections to be carried out combisafe edge protection to be at all times erected
regrade embankment & lower existing mh, dust / debris, take regular brakes and allow dust to settle
regrade embankment & lower existing mh, coshh, fire extinguishers available in cabins and vehicles
regrade embankment & lower existing mh," slips, trips & falls", correct and report any hazards
working on floating pontoon, collision with moving plant / vehicles," all operatives to wear mandatory hi-vis jackets, hard hats, gloves, steel toe cap boots and eye protection"
working on floating pontoon, plant operating on sloping ground / risk of overturning,all operators to be competent and trained
spel tank, water quality run off from excavation / stockpile,soils from excavation to be stored in suitable location & sealed and monitored for run off
spel tank, havs, operatives to keep warm and dry by wearing appropriate clothing / ppe rotation of workforce
spel tank, local landscape blown litter,ensure skips & waste bins are available onsite
commissioning of new 2 cell reservoir and de-commissioning of existing reservoir., carrying out work as and when required in control panels and/or other electrical equipment to be able to carry out the commissioning,this is only to be carried out by authorised staff
embankment works and associated activities, plant movement, all tipping operations to be carried out on suitable firm level surface
site clearance & reduced dig – caustic area, demarcation & site security, 2m high heras fence panels will secure site compounds and working areas
site clearance & reduced dig – caustic area, overhead & underground services, consultation with statutory authorities where necessary
manual handling activities, noise/air pollution/disturbance to neighbours air/noise/fumes, turn off engines when not in use
"excavation to sludge tank, formation and pipework ", noise, don’t keep machinery running unnecessarily
civil modifications at existing chemical dosing shower position, noise, don’t keep machinery running unnecessarily
laying 80mm ductile and valving, coshh, full ppe required will be on site for issue and must be used correctly and kept in good condition
Cutting of pipework Diversion on Potable Water Main,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
 marking out/setting out,"Slips, Trips, Falls", Don’t walk on edge of kerb
 marking out/setting out,Paint Fumes, Never look directly at the nozzle if it becomes blocked
shoveling or raking bituminous material, struck by moving vehicle, operatives to maintain awareness of their surroundings at all times
shoveling or raking bituminous material, burns, operatives must never shovel out of the pan of the paver unless the paver has been isolated (for cleaning purposes) operatives must avoid shoveling out of the tipper lorry
shoveling or raking bituminous material, burns, use chute lorries wherever possible
Excavator Use Road ,Lost load or bucket to quick hitch failure, Choice of equipment and requirements to be assessed with regard to ground conditions and local operational requirements
 hand lay and use of wheelbarrows,Manual Handling Bending Stooping Lifting wheelbarrow to discharge material," Suggest light warm up exercises and stretches are carried out by operatives prior to manual handling, lifting or shoveling "
 general surfacing operation - use of paver,Environmental damage from tar and oils when paver parked, Use of bridgeable cleaner for cleaning paver
 hand lay and use of wheelbarrows,Impact by vehicle,Ensure appropriate traffic control is in place
" safe use of bitumen boilers (sealing joints with bitumen, lighting burner on heater, filling/topping up heater with cold bitumen)",Burns Splash back of hot bitumen on body, Allow to suitably cool down
 shoveling or raking bituminous material,"Operator falls from vehicle during access, slips, trips, falls.", Operator not to jump from dumper
 take up and re-lay or lay new kerbs/channel blocks/edgings/tactiles/paving slabs.,"Exposure to harmful substances M90, M60, OPC, Chemical retarders"," Ensure use of appropriate task specific PPE including protective eyewear, gloves, dustmasks, full arm and leg protection - do not allow materials to contact exposed skin Mix materials in wheelbarrow, mortar tub or mechanical mixer"
 take up and re-lay or lay new kerbs/channel blocks/edgings/tactiles/paving slabs.,Manual Handling Lifting bags of M90 Lifting water containers Lifting kerbs/slabs/channels Bending Kneeling Trapping fingers,Use mechanical means of lifting where possible Always use correct lifting technique
 hand lay and use of wheelbarrows,Burns to skin from hot asphalt and asphalt fragments getting in to eyes.,Ensure correct PPE worn whilst discharging from chutes or shoveling from stockpile
 use of wacker plate,Manual Handling, Use two person lift where necessary
Stacking and unstacking ,"Sprains, strains, Cuts and bruises from unexpected moving items",Operatives to ensure materials are stacked in a logical manner and not too high to make it unstable
 Removal of Existing Digester Pipework,Operative exposed to excessive hand arm vibration HAVs,"Operatives to check HAVs chart and locate allowed daily exposure time, if exposure time is longer than allowed then operatives are to rotate trigger time to minimize exposure to hand arm vibration"
Removal of concrete around recirculation pwk flanges,Operatives struck by heavy plant. Heavy plant & general construction activities,"Public routes/footpaths to be clearly marked, well maintained and signposted and fenced off to ensure no public can gain entrance to the construction area"
Installation of Tees /Valves/ Blanks into FE pumps delivery pwk,Electrocution Powertools,Tools to be checked visually and hold a current pat test
General water discharge Odour Control & Potable Water,Pollution, Position of storage tanks to be clear of risk of spills
 diamond core drilling, creation debris and slurry, hard hat safety boots and gloves will be worn
Installation of FE tee piece tie ins,"Waste being stored, handled and disposed of incorrectly", Recycle where possible and all waste removed from site will be taken to a licensed disposal facility under a waste carriers licence
Gas Plinths,Operatives struck by heavy plant. Heavy plant & general construction activities, Vehicle movements to be controlled by competent banksman
/General Use of Road Planer Milling Operations,"Slips and trips in area of planing, physical injury to persons.", Sweeper to ensure area is clear before reversing Ensure no unauthorized personnel are within planing area
 Generic Cleaning Site Offices,Fatality Major injury Minor injury Collision with other vehicles or stationary objects., Abide with Highway Code
On site working -,"Personal injury, Death Leptospirosis / Tetanus",PPE to be worn Wash hands after site activity
 Digester Sludge Plinths & Ducts,Collapse of excavation, Travel and operations on a gradient must be controlled to ensure machine stability
using hgvs & fleet vehicles,Congestion/Roadworks, Consult traffic reports on the radio/satellite navigation system
using hgvs & fleet vehicles,Driving & Weather conditions,Avoid driving in bad weather conditions wherever possible
280mm pe sdr11 rising main installation., burns, burns are to be cooled down using cold water and medical advice sort
280mm pe sdr11 rising main installation.," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances","g harmful, toxic, irritant, corrosive, flammable, mutogenic, oxidising, explosive)"
contact tank & pumping station underslab pipework & ducts, collapse of excavation,5m away from the edge of the excavation to prevent surcharge & materials rolling into the excavation
service trial holes, noise,noise levels of the working machine and small hand held plant will be assessed and ear protection offered to those working in close proximity of the machine
service trial holes, working next to existing structures undermining of structure damage to structure collapse of structure,excavations to be a maximum of 1
lone working, use of general miscellaneous plant,check for damage prior to use never use 240v tools on site
engineering and surveying duties, operative struck by plant. / crush zones for plant / dumpers not fitted with proximity sensors included in anticipation of start of construction work, attract drivers attention before approaching machine all site plant to work under a 10mph speed restriction at all times
engineering and surveying duties, operative struck by plant. / crush zones for plant / dumpers not fitted with proximity sensors included in anticipation of start of construction work,"plant ops to be cpcs trained plant to be under control of designated banksman at all times working haul roads to be clear and free from any static object / loads (piles), this is to prevent any crush zones haul roads to be in good condition with segregated walkways to remove the requirement for proximity sensors"
engineering and surveying duties, working in remote areas, addition of radios once construction starts ensure mobile phone batteries are charged know locations of nearest hospital
 removal of palisade fencing at linden avenue and nwl boundary., unauthorised entry into the works,barriers and signage to be in place during the works
 service reservoir confined space entry – asbestos survey, ladder access,ladders should be in good condition and examined regularly for defects
contact tank & pumping station underslab pipework & ducts," contamination of ground, watercourse, damage to species & habitats fuel / oil / chemical spillage, accidental release, mis-use", refuelling will be via a fuel bowser with hose & trigger
contact tank & pumping station underslab pipework & ducts," mud on road, dust vehicle movements",install permanent & temporary site roads as work progresses
gravity sewer and rising main, tools left out can be used for theft purpose ,put tools away after use
gravity sewer and rising main, high site access,pre plan access route and walk course with suppliers
gravity sewer and rising main, med failure of permanent reinstatement,permanent reinstatement to be carried out by approved raswa operatives to be carried out in as large an area as possible to avoid joints operation is weather dependant this applies only to blacktop areas
excavate trial holes, dust, face fit dust masks must be worn during all cutting operations
excavate trial holes," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances"," all persons shall only use fire, first aid and spill clean-up equipment if they are competent to do so"
constructing a concrete plinth to cap off storage pipe risers, use of cutting equipment, spill kits and plant nappies must be onsite and available to clean up any fuel/oil spillages
 excavation works, persons crushed between plant & fixture,control of working area banksman to control plant movements between compound and trial trench locations fence off working area
 excavation works, plant breakdown/failure,inspection of plant carried out daily
camera survey of 350mm washwater main that passes under poly dosing plant, working at height,"use suitable, tagged access equipment where required use harness and lanyard"
use of cutting equipment and drills, use of cutting equipment, ensure blades have the correct speed rating for the machine and are reinforced
use of cutting equipment and drills, use of cutting equipment, don’t exert heavy pressure on the wheel
use of cutting equipment and drills, noise, use a less noisy process if possible
use of cutting equipment and drills, pollution/damage to ecological features and inhabitants due to use of hazardous substances, coshh assessments for current tasks shall be available in offices and site welfare units work in accordance with environment agency pollution prevention guidelines ppg5
site engineering & surveying including pre-start survey, error within the control stations / tbm’s site control, control stations to be installed away from heavily trafficked areas
site engineering & surveying including pre-start survey, noise pollution noise, correct ppe should be available and used when working in or near high noise risk areas
280mm pe sdr11 rising main installation., traffic management and land entry, excavations that cross any public highways will have the appropriate traffic management in place
280mm pe sdr11 rising main installation., excavations, backfilling of the excavation shall be done once the pipe has been installed and the engineer has recorded the levels
280mm pe sdr11 rising main installation., tracking loads, use only designated routes and keep these routes maintained
280mm pe sdr11 rising main installation., weather and winter working," during high winds, all lifting operations will be suspended until conditions improve"
280mm pe sdr11 rising main installation., water ingress, complete a design brief or design justification for all dewatering operations
constructing a concrete plinth to cap off storage pipe risers, workability must be carefully controlled to ensure that proper compaction + finishing can be achieved concrete consistency,where necessary loads to be slumped on arrival on site and rejected if not within tolerance
digging trial holes for connection points, not able to make connections due to services failure to carry out connections,"work may be reactive, plan for alternatives"
temporary platform construction, harmful to aquatic life kicking up silt in watercourse,discharge of over pumping to be monitored over pumping to be stopped if high levels of silt is disturbed
laying slabs to form footpaths, adverse weather and flow conditions (increased risk of flooding & drowning), undertake initial visual check of weather and flow conditions on arrival to site
install stop blocks to access ramp to tip, slips trip & falls, assess and use most suitable access route be vigilant of underfoot ground conditions
laying slabs to form footpaths," electricity – fire, burns, shock, buried cables",qualified and competent electrician only to connect cabins to mains electricity
constructing a concrete plinth to cap off storage pipe risers, working with ready mix concrete, do not put the saturated clothing back on
winter working & driving conditions, vehicle/pedestrian routes, where practicable clear snow and ice from access roads and pedestrian routes
excavate trench to allow the installation of temporary electric cables, soft / unstable / uneven / slippery ground & presence of debris, operatives to cease work when conditions become unsafe and assess whether to supply rock salt
civil works in new compound, noise/air pollution/disturbance to neighbours release to air/noise/fumes, turn off engines when not in use
dust suppression for bulk earthworks, vehicles traversing on slopes, no lone working
earthworks for trial bund, overturning of vehicles during manoeuvring/tipping/ stockpiling, tipper backs will be lowered immediately after tipping drivers will wear seat belts at all times when moving
earthworks for trial bund, overturning of vehicles during manoeuvring/tipping/ stockpiling,designated haul routes will be used and kept clear haul route to have bunds erected on outside of any bends to reduce risk of leaving haul route if deemed necessary unloading/loading areas will be flat/level and maintained in good condition only one vehicle at a time will be unloaded banksmen will stand clear during tipping and manoeuvring
earthworks for trial bund, collision of plant," adjust driver aides, mirrors etc"
installation of sheet piles, dropping / uncontrolled release of pile struck by falling object, thorough examination of excavator and piling hammer training and competency pedestrian routes to be in place piles to be attached to pitching chain until piles is pitched
installation of sheet piles, use of hand tools,use correct tool for the task check them daily for damage or excessive wear do not use if not in good condition replace them powered tools must be pat tested wear the correct gloves for the task
installation of sheet piles, working next to existing structures undermining of structure damage to structure collapse of structure,excavations to be a maximum of 1m
removal of dwarf wall, working next to existing structures undermining of structure damage to structure,excavations to be a maximum of 1m
service trial holes, entrapment in vac-ex, boom of vax ex to be kept low to ground when running
pressure testing 300mm raw water road crossing mains," contamination from arisings in excavation (soils, etc.)"," not envisaged to be an issue as excavation lined with sheet piles, etc"
gas check area entry, risk of ignition from flammable sources., designated mobile phone/smoking areas available at site compound
 site set-up, contamination of ground / water supply diesel spillage, all plant to be refuelled at compound fuel bowser location only
 site set-up, hav (hand arm vibration), keep hands warm
pipework installation and grading work, havs," if you think you are suffering ill effects from vibration, stop the activity, speak to your supervisor and if necessary seek medical advice"
pipework installation and grading work, havs," when using a tool which causes vibration, break the job up with other work activities"
digging trial holes, noise,noise levels of the working machine and small hand held plant will be assessed and ear protection offered to those working in close proximity of the machine
digging trial holes, manual handling small plant and materials, assess weights of loads
site clearance & reduced dig – caustic area, noise, warn them when you are about to create noise
breakout 600mm pipe and bench up, hydrogen sulphide raw sewage,"test for gas with monitor, ensure escape ba is full and with entrant, operator is confine space trained"
breakout 600mm pipe and bench up, working in close proximity to excavator, banksman to be in place to work with driver
pipelaying activity, manual handling, team lifting utilised if necessary
"concreting, reinstatement & footpath construction"," operatives, staff, visitors noise",noise levels of the working machines will be assessed
over pumping of existing 300mm & 225mm pipe, dust / debris, dust suppression to be used where possible
working on floating pontoon, working from floating pontoons , do not work in the pontoon if the edge protection is not erected
spel tank, coshh,all substances on site to have coshh assessment coshh poster displayed drip trays within stores
working on floating pontoon, leptospirosis (weils disease), gloves to be worn for all working operations
embankment works and associated activities, killing or injuring birds potential habitats for nesting birds identified on site, work to be stopped immediately if the presence of nesting birds is discovered
embankment works and associated activities, pollution of existing watercourses and ground fuel spillage, spill kits to be readily available and personnel aware of emergency procedures
plant refuelling and deliveries, ppe usage,all workers to use the correct and task specific ppe any damaged ppe to be replaced immediately
site clearance & reduced dig – caustic area," slips, trips, and falls", good housekeeping to be maintained at all times
"excavation to sludge tank, formation and pipework ", offloading materials – and lifting operations, competency check of delivery driver weights of plant and materials to be assessed prior to delivery
