0,1,2
installation of tees andvalvesand blanks into fe pumps delivery pwk,"operatives struck by heavy plant heavy plant and general construction activities,electrocution powertools,operatives exposed to weils disease and other diseases due to contact with sewage contact with sewage,operatives struck by heavy plant heavy plant and general construction activities,areas untidy materials causing trip hazards slips trips and falls,operatives struck by heavy plant heavy plant and general construction activities,injury handtools","public routesandfootpaths to be clearly marked well maintained and signposted and fenced off to ensure no public can gain entrance to the construction area,tools to be checked visually and hold a current pat test,good level of hygiene coshh on sewage briefed gloves worn and hands washed before eating and smoking,plant to be operated by qualified cpcs operatives only,work area to be kept clean and tidy at all times,vehicle movements to be controlled by competent banksman,tools to be in good order and not overly worn"
laying slabs to form footpaths,"contamination of existing watercourses control of water runoff from topsoil stockpiles,manual handling  injury to limbs or back,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology,hand tools cuts abrasions minor injuries,site transport and deliveries – falling loads collision contact with pedestrians and general public,lifting operations – collapse overturning of crane or hiab collision falling materials,hand tools cuts abrasions minor injuries,nuisance to operativesand neighbours noise pollution,lifting operations – collapse overturning of crane or hiab collision falling materials,havs stihl saw,manual handling  injury to limbs or back,lifting operations – collapse overturning of crane or hiab collision falling materials,lifting operations – collapse overturning of crane or hiab collision falling materials,nuisance to operativesand neighbours noise pollution,lifting operations – collapse overturning of crane or hiab collision falling materials,adverse weather and flow conditions increased risk of flooding and drowning,electricity – fire burns shock buried cables,electricity  fire burns shock buried cables,adverse weather and flow conditions increased risk of flooding and drowning,manual handling  injury to limbs or back,manual handling  injury to limbs or back,site transport and deliveries – falling loads collision contact with pedestrians and general public,adverse weather and flow conditions increased risk of flooding and drowning,manual handling  injury to limbs or back,nuisance to operativesand neighbours noise pollution,manual handling  injury to limbs or back,contamination of the existing watercourses fuel spillage,site transport and deliveries – falling loads collision contact with pedestrians and general public,plant operations – injury from collision with a moving vehicle,weather and ground conditions,manual handling  injury to limbs or back,electricity  fire burns shock buried cables,plant operations – injury from collision with a moving vehicle,electricity  fire burns shock buried cables,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology,hand tools cuts abrasions minor injuries,lifting operations – collapse overturning of crane or hiab collision falling materials,lifting operations – collapse overturning of crane or hiab collision falling materials,adverse weather and flow conditions increased risk of flooding and drowning,adverse weather and flow conditions increased risk of flooding and drowning,site transport and deliveries – falling loads collision contact with pedestrians and general public,adverse weather and flow conditions increased risk of flooding and drowning,weather and ground conditions,nuisance to operativesand neighbours noise pollution,nuisance to operativesand neighbours noise pollution,plant operations – injury from collision with a moving vehicle,hand tools cuts abrasions minor injuries,hand tools cuts abrasions minor injuries,manual handling  injury to limbs or back,site transport and deliveries – falling loads collision contact with pedestrians and general public,manual handling – injury to limbs or back,lifting operations – collapse overturning of crane or hiab collision falling materials,adverse weather and flow conditions increased risk of flooding and drowning,site transport and deliveries – falling loads collision contact with pedestrians and general public,hand tools cuts abrasions minor injuries,weather and ground conditions,electricity  fire burns shock buried cables,adverse weather and flow conditions increased risk of flooding and drowning,nuisance to operativesand neighbours noise pollution,plant operations – injury from collision with a moving vehicle,lifting operations – collapse overturning of crane or hiab collision falling materials,lifting operations – collapse overturning of crane or hiab collision falling materials,litter blowing around site windblown waste and litter,adverse weather and flow conditions increased risk of flooding and drowning,manual handling – injury to limbs or back,hand tools cuts abrasions minor injuries,hand tools cuts abrasions minor injuries,site transport and deliveries – falling loads collision contact with pedestrians and general public,lifting operations – collapse overturning of crane or hiab collision falling materials,plant operations – injury from collision with a moving vehicle,havs stihl saw,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology,adverse weather and flow conditions increased risk of flooding and drowning","silt fencing to be installed as per manufacturers instructions topsoil piles to be kept to a maximum 1m high topsoil to be sealed up to prevent water ingress,keep loads close to the body to minimise stress to the lower back don’t over reach,report any findings,only use tools for their intended purpose,signaller will be required to bank all vehicles,qualified and competent operators only to operate lifting plant,ensure tools are cleaned well maintained and stored correctly,noise monitoring to take place upon site establishment and upon any significant changes thereafter to establish noise levels,competent slingerandsignaller to supervise operation,assess havs figures of plant to be used and stay within trigger times,safe lifting techniques shall be applied,qualified and competent operators only to operate lifting plant,lifting plant to be sited on firm level ground,noise levels of generator and all plant to be provided by manufacturer and recorded,compliance with lifting procedures,undertake initial visual check of weather and flow conditions on arrival to site,qualified and competent electrician only to connect cabins to mains electricity,compliance with safety procedures for breaking of all ground,continuously monitor weather and flow conditions by visual inspection throughout task,walk ways to be flat and free from obstacles,use two person lifts where possible establish the size and weight of the load prior to lifting check ground conditions prior to moving loads across the working area,pedestrian routes to be established before work commences unauthorised pedestrians prevented from entering site,issue high rainfall alerts to site team,use two person lifts where possible establish the size and weight of the load prior to lifting check ground conditions prior to moving loads across the working area,hearing protection mandatory at 85db,individuals must lift within their own capabilities,fuel storage tanks either to be selfbunded refuelling undertaken within site compound only and no less than 10m away from the watercourse spill kits available inspected regularly and maintained in good working order spill kit drill to be undertaken within 2 weeks of site setup,all fencing around the works to be closed at all times with areas fully signed,material lay down areas demarcated,cease work when conditions unsafe and assess whether to supply rock salt and extra stone,walk ways to be flat and free from obstacles,ground cat scanned for buried services service drawings checked,hivis vests worn trafficandpedestrian areas clearly demarcated,qualified and competent electrician only to connect cabins to mains electricity,visual checks to be carried out daily,only use tools for their intended purpose,if outriggers are deployed they should be fully extended and locked off,approved lift plan must be in place prior to lift,be prepared to abandon work if adverse weather is forecast,ea to issue high rainfall alerts to site team,pedestrian routes to be established before work commences unauthorised pedestrians prevented from entering site,abandon work immediately if weather or flow conditions become unsafe,daily assessment of ground conditions,noise levels of generator and all plant to be provided by manufacturer and recorded,noise monitoring to take place upon site establishment and upon any significant changes thereafter to establish noise levels,areas of plant movements to be segregated and fenced off from the site team and public where possible,ensure tools are cleaned well maintained and stored correctly,replace any broken or damage tools,keep loads close to the body to minimise stress to the lower back don’t over reach,reversing vehicles to be controlled by banksmanandvehicle marshall at all times care must be taken to look out for pedestrians,manual handling should be avoided where at all possible and machines used instead,compliance with onsite safety procedures for all lifts,undertake initial visual check of weather and flow conditions on arrival to site,signaller will be required to bank all vehicles,replace any broken or damage tools,cease work when conditions unsafe and assess whether to supply rock salt and extra stone,ground cat scanned for buried services service drawings checked,continuously monitor weather and flow conditions by visual inspection throughout task,hearing protection to be made available on request at 80db,material lay down areas demarcated,approved lift plan must be in place prior to lift,lifting plant to be sited on firm level ground,site waste management plan developed separate waste skips for separate waste provided enclosedandcovered skips and bins provided,be prepared to abandon work if adverse weather is forecast,safe lifting techniques shall be applied,do not leave tools laying around put them away when not in use,wear correct ppe at all times,all fencing around the works to be closed at all times with areas fully signed,all lifting plant chains slings and shackles should be certified and inspected before use,areas of plant movements to be segregated and fenced off from the site team and public where possible,assess havs figures of plant to be used and stay within trigger times,refer to environmental action plan and update regularly nesting birds bats badgers reptiles and amphibians gcn otter and water vole bio security tbt will be carried out,abandon work immediately if conditions are deemed unsafe"
lifting into position of overhead gantry crane,"using hand tools incorrectly resulting in sprains cuts and or abrasions,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,serious injury from coming into contact with plant and vehicles,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,serious injury from coming into contact with plant and vehicles,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,falling load coming into contact with suspended load,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,using hand tools incorrectly resulting in sprains cuts and or abrasions,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,serious injury from coming into contact with plant and vehicles,incorrect manual handling leading to back pain and or back injury,falling load coming into contact with suspended load,fuel oil spillage from plant and crane,serious injury from coming into contact with plant and vehicles,fire caused by hands tools,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,slips trips and falls leading to sprained ankles and or wrists,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,serious injury from coming into contact with plant and vehicles,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,trapped fingers between components,fire caused by hands tools,crushing and or entrapment from overloading overturning or incorrect use of lifting appliance,slips trips and falls leading to sprained ankles and or wrists","ensure gloves are worn and operators have knowledge and experience of using hand tools,documentation of lifting appliance and lifting equipment to be presented to site staff for review,ensure hivis ppe is worn,never list with chains shortened with knots linked or twisted wire ropes,ensure speed limits are being adhered to,only use certified lifting equipment marked with its s,persons not directly involved to move to safe zone whilst load is suspended,exclusion zone to be set up for lifting operations,cranes to be set up on level ground as per lifting plan,ensure lifting equipment is stored correctly,if unsure of correct use request assistance,use suitable packing to protect slings from damage by sharp edges of loads and do not allow lifting equipment to be damaged by being dropped or dragged under a load,lifting equipment to be checked by designated slingerandsignaller and deemed in good order prior to using the lifting equipment for lifting duties,take care not to snatch or suddenly load particularly in cold weather,ensure safe distance is maintained from operating plant and vehicles,persons involved in works trained in manual handling procedures and undertake trained methodology,observe gas air horn signal and upon hearing move directly to safe zone,use spill kits provided ensure disposal is in line with relevant msds and in correct packing,stick to pedestrian walkways and segregated areas,fire extinguisher available at works location,lifting equipment eg slings must be thoroughly inspected every 6 months and be certified,remove any debris,take care whilst on platforms,never use makeshift damaged or badly worn equipment,maintain good personal alertness of plant and vehicles,once on site the lifting supervisor must ensure that the lifting appliance and lifting equipment provided matches accompanying documentationandcertification,follow method statement keep fingers out of entrapment points follow assembly instructions,gas monitoring on site by dlng if alarm sounds cease work immediately go to evacuation muster point g,all loads irrespective of their shape or size are to be slung so that their centre of gravity falls immediately below the crane hook,ensure work area is free from materials and items in the way of assembly"
lifting screen panel,"panel weight,panel weight,sharp edges, areas untidy materials causing trip hazards slips trips and falls,areas untidy materials causing trip hazards slips trips and falls,panel weight,panel weight,sharp edges, nesting birds,nesting birds,nesting birds,nesting birds,nesting birds,panel weight,panel weight,sharp edges","2man lift of panel,manual handling procedures adhered to,wear full ppe, all trip hazards removed immediately,work area to be kept clean and tidy at all times,2man lift of panel,manual handling procedures adhered to,wear full ppe, obtain advise prior to starting works that may have an impact on nesting birds this includes devegetation and noisy works,visual checks to be carried out daily,report any findings immediately,where possible work outside of breeding seasons,toolbox talk to be delivered to all personnel on site,2man lift of panel,manual handling procedures adhered to,wear full ppe"
loadingandunloading of chipper,"impact with pedestrians or other operatives impact with live traffic reversing into other vehicles or plant reversing into pedestrians or other operatives,impact with pedestrians or other operatives impact with live traffic reversing into other vehicles or plant reversing into pedestrians or other operatives,impact with pedestrians or other operatives impact with live traffic reversing into other vehicles or plant reversing into pedestrians or other operatives,impact with pedestrians or other operatives impact with live traffic reversing into other vehicles or plant reversing into pedestrians or other operatives,impact with pedestrians or other operatives impact with live traffic reversing into other vehicles or plant reversing into pedestrians or other operatives","ramps returned to vertical position and locked off,chocks put in place to prevent movement and brakes applied,loading  trailer to be parked on level and even ground,chipper to be reversed up ramps under guidance from a banksman and brought to a halt once level,chipper to be reversed up ramps under guidance from a banksman and brought to a halt once level"
manual handling gas bag area,personal injury,always use correct equipment
manual handling generic cleaning site offices,"minor and major injury sprains and strains back injuries ruptures and cuts,minor and major injury sprains and strains back injuries ruptures and cuts,minor and major injury sprains and strains back injuries ruptures and cuts,minor and major injury sprains and strains back injuries ruptures and cuts,minor and major injury sprains and strains back injuries ruptures and cuts","provision and use of mechanical handling aids whenever possible or request assistance if object is above your capabilities — do not strain,if there is any doubt ask your supervisor,practice approved manual handling techniques,practice approved manual handling techniques,if doubting lift request assistance"
materials relocation work,"staff being struck by a train or otm,buried services,mobile telephones,plant vehicle movements,plant vehicle movements,encountering damaged cables,staff being struck by a train or otm,hazardous substance,manual handling,encountering damaged cables,staff being struck by a train or otm,staff being struck by a train or otm,staff being struck by a train or otm,staff being struck by a train or otm,syringes sharps,buried services,buried services,coshh,plant vehicle movements,plant vehicle movements","works on station platforms in high street environment controlled by site keeper or barriers,avoid continuous exposure,if the need to use a mobile telephone arises you must agree with the supervisor coss that you can use it,trained competent operators and banksman,segregate pedestrian and vehicle routes banksman to manage plant and vehicle movements,avoidance of cables where practicable,ensure safe system of work ssow in place applicable to the task activity,use under technical and manufactures specifications wear correct ppe overalls,split loads into manageable lifts two man lifts if required,exclusion zone established around the damage cable,pos representation system of work and ensure clear understanding of responsibilities,careful planning of work,pts trained workforce and supervision,operatives briefed by the coss on the safe system of work,exclusion zone to be established around the sharps,select power tools with lowest vibration levels,use of curotec system to monitor exposure levels,exposure times as per coshh assessment states,close all access gates following deliveries,banksman to marshal delivery wagons when entering and exiting site"
materials storage,"areas untidy materials causing trip hazards slips trips and falls,areas untidy materials causing trip hazards slips trips and falls, legal compliance,maintenance,safety features,maintenance,fire explosion chemical burns to lungs toxic poisoning lung cancer other cancers death gas ingress,maintenance,maintenance,legal compliance,maintenance,maintenance,age,areas untidy materials causing trip hazards slips trips and falls,areas untidy materials causing trip hazards slips trips and falls, nesting birds,nesting birds,nesting birds,nesting birds,nesting birds,areas untidy materials causing trip hazards slips trips and falls,areas untidy materials causing trip hazards slips trips and falls, hand tools cuts abrasions minor injuries,manual handling  injury to limbs or back,manual handling – injury to limbs or back,manual handling  injury to limbs or back,lifting operations – collapse overturning of crane or hiab collision falling materials,adverse weather and flow conditions increased risk of flooding and drowning,lifting operations – collapse overturning of crane or hiab collision falling materials,failure of temporary works platform not built to temporary works design,working near and in water drowning,harmful to aquatic life kicking up silt in watercourse,lifting operations – collapse overturning of crane or hiab collision falling materials,noise,lifting operations – collapse overturning of crane or hiab collision falling materials,manual handling  injury to limbs or back,poor ground conditions slips trips and falls,adverse weather and flow conditions increased risk of flooding and drowning,working near and in water drowning,litter blowing around site windblown waste and litter,working on embankments slips trips and falls,poor ground conditions,adverse weather and flow conditions increased risk of flooding and drowning,hand tools cuts abrasions minor injuries,hand tools cuts abrasions minor injuries,failure of temporary works platform not built to temporary works design,waste and litter blowing around site windblown,contamination of the existing watercourses fuel spillage,working near and in water drowning,hand tools cuts abrasions minor injuries,plant movements and operations  injury from collision with a moving plant,lifting operations – collapse overturning of crane or hiab collision falling materials,alteration to watercourse silt into watercourse scour to bank during over pumping,hand tools cuts abrasions minor injuries,adverse weather and flow conditions increased risk of flooding and drowning,lifting operations – collapse overturning of crane or hiab collision falling materials,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology,lifting operations – collapse overturning of crane or hiab collision falling materials,manual handling  injury to limbs or back,manual handling  injury to limbs or back,hand tools cuts abrasions minor injuries,weils disease,nesting birds bats badgers reptiles and amphibians gcn otter and water vole also bio security ecology","all trip hazards removed immediately,work area to be kept clean and tidy at all times, all havs records to be maintained for use of all vibrating tools,mandatory hearing protection when excess of 80 decibels or when unable to hear,works are carried out within site hoarding and site boundaries,install relevant signage if and when necessary,dust suppression units to be used whenever cutting concrete,when using air or powered tools always restrain from exceeding trigger times,avoid vibrating tools where possible if necessary use minimum vibration tools and monitor to ensure limits are not exceeded,appropriate dust masks to be worn use dust suppression,noise and vibration will be monitored by specialist supplier when required,switch off plant when not in use,keep noise to a minimum,all trip hazards removed immediately,work area to be kept clean and tidy at all times, obtain advise prior to starting works that may have an impact on nesting birds this includes devegetation and noisy works,visual checks to be carried out daily,report any findings immediately,where possible work outside of breeding seasons,toolbox talk to be delivered to all personnel on site,all trip hazards removed immediately,work area to be kept clean and tidy at all times, replace any broken or damage tools,walk ways to be flat and free from obstacles,keep loads close to the body to minimise stress to the lower back don’t over reach,manual handling should be avoided where at all possible and machines used instead,qualified and competent operators only to operate lifting plant,abandon work immediately if weather or flow conditions become unsafe,lifting plant to be sited on firm level ground,engineer to oversee the works engineer to set out as per drawing and quality checks to be carried out,abandon work immediately if conditions become unsafe,discharge of over pumping to be monitored over pumping to be stopped if high levels of silt is disturbed,if outriggers are deployed they should be fully extended and locked off,ear defenders to be worn when noise level exceeds 85db plant to be turned off when idle,approved lift plan must be in place prior to lift,use two person lifts where possible establish the size and weight of the load prior to lifting check ground conditions prior to moving loads across the working area,cease work when conditions unsafe,be prepared to abandon work if adverse weather is forecast,life jackets to be worn whilst working adjacent or in water pre use check of life jackets to be carried out daily continuously monitor weather and flow conditions by visual inspection,site waste management plan developed separate waste skips for separate waste provided enclosedandcovered skips and bins provided,cease work when conditions unsafe limit work on embankment where possible and adopt a method of side stepping up and down embankment,daily assessment of ground conditions,issue high rainfall alerts to site team,cut proof gloves to be worn when using knives,do not leave tools laying around put them away when not in use,engineer to oversee the works engineer to set out as per drawing and quality checks to be carried out,site waste management plan developed separate waste skips for separate waste provided enclosedandcovered skips and bins provided,refuelling of temporary pump to be undertaken within site compound or no less than 10m away from the watercourse spill kits available inspected regularly and maintained in good working order pump to be stored on enviropad,throw lines to be available,ensure tools are cleaned well maintained and stored correctly,plant and people segregation in place around site thumbs up procedure to be implemented site induction,all lifting plant chains slings and shackles should be certified and inspected before use,discharge of over pumping to be away from bank,wear correct ppe at all times,undertake initial visual check of weather and flow conditions prior to commencing task continuously monitor weather and flow conditions by visual inspection throughout task,competent slingerandsignaller to supervise operation,refer to environmental action plan and update regularly water vole survey carried out in swaithe dyke confirmed that none are present,compliance with on site safety procedures for all lifts,individuals must lift within their own capabilities,safe lifting techniques shall be applied,only use tools for their intended purpose,good hygiene practices to be encouraged,refer to environmental action plan and update regularly water vole survey carried out confirmed that none are present"
mobile crane,"crushing of personnel overturningand failure,crushing of personnel overturningand failure","mobile crane operator to produce trained and competent card,mobile crane to have valid 12 monthly and 6 monthly lifting tackle certification"
over pumping,"contamination of surface water and water courses and treatment works fuel spillages,finger trapping,contamination of surface water and water courses and treatment works fuel spillages,contamination of surface water and water courses and treatment works fuel spillages,working in close proximity to excavator,contamination of surface water and water courses and treatment works fuel spillages,finger trapping,lifting of pump,lifting of pump,failure of lifting equipment,excess flow through works,failure of pump,working in close proximity to excavator,finger trapping,finger trapping,contamination of surface water and water courses and treatment works fuel spillages,slips trips and falls,high water and flooding,permanent loss of environment damage to vegetation,failure of pump,accidents using 21 tonne excavator,working in close proximity to excavator","all oil containers are to be securely locked away to stop unauthorised access,use correct lift and plan and follow the rules,internal bund to be checked for spillages and level daily,all fuel tanks to be stored at least 100m away from bore holes footprint but not less than 50m fuel tanks to be kept locked at all time to stop unauthorised access,driver to understand who is in area of influence of excavator and what their role is,tanks and bowser to be inspected daily for leaks and damage,adhere to tool box talks with regards to finger trapping,all lifting equipment to have a current test cert,slingerandbanksman to be in control of lift at all times,lift plan to be produced and followed,call to slow flow or attend site to rectify,back up pump 6 hours away on standby if required,only essential persons to be in area others to be excluded by barriers fencing or gates,do not lift items or objects by yourself ask for assistance,wear correct gloves,provide fuel spill kits follow spill kit procedures for use located on notice board in office and fuel storey also in spill kit itself safe storage of fuel inside secure container all fuel tanks must be located a minimum distance of 10 metres away from any water course all fuel to be stored in double bunded bowser with a secondary containment of at least 110 of the stored volume,wear the correct footwear and keep working area clean and free of tools and plant,monitor water levels to allow access to manholes,keep mobile plant clear of established trees and hedge lines,ensure pump has a good supply of fuel and check oil levels daily,ear protection to be worn by operatives outside the cab and in close proximity to the excavator,banksman to be in place to work with driver"
overhead and underground services,"death electric shock burns fire from underground services,death electric shock burns fire from underground services","carry out cat scan of area and mark out location of services,hand dig only within 1m of any identified services"
panel and embankment install,injury slips trips and falls,ensure materials are stored correctly and neatly
panel modifications on live sewage treatment sites,contactandcontraction of diseases,maintain good hygiene wash your hands before eating drinking or smoking and carry wash kits in site vans where possible
pipework road crossing and laying in verge water mains,"contact with coshh substances,contact with coshh substances, collapse of excavation,collapse of excavation,collapse of excavation,collapse of excavation,refuelling,contact with coshh substances,contact with coshh substances","nonperforated gloves to be worn when using,a full coshh assessment will be in place and hands washed before eating drinking and smoking, operatives will not enter the excavation until the excavation has been reviewed by onsite representative,5m away from the edge of the excavation,all spoil will be stored at least 1,the condition of the excavation to be monitored before and during excavation activities and before the start of all working periods; all work where practicable will be completed from the outside of the excavation,all refuelling procedures will be carried out overa plant nappy with a spill kit on hand to contain any spills not handled by the plant nappy,nonperforated gloves to be worn when using,a full coshh assessment will be in place and hands washed before eating drinking and smoking"
placing 150mm od sewer rising main,"incident at traffic control site entrance,damage to overhead national grid electric cables,damage to overhead national grid electric cables,damage to overhead national grid electric cables,contamination of soil water course and ground,medium damage to existing propertyand buildings,damage to existing water main pipe,lizards,medium incorrect level of pipework,removal of top soils to access road,high potential basking reptiles in old sludge drying beds area,damage to existing water main pipe,contamination to ground and water courses from fuel spillage,accidents near site entrance off,contamination of soil water course and ground with diesel hydraulic oil engine oil and petrol spills,respirable hazards,nwg live assets in use,damage to existing services,damage to overhead national grid electric cables","a combination padlock is in place with deliveries needing to contact site management or other designated for access gate to be closed at all times as is a private road banksmen to control traffic while delivery vehicle enter and exit site,consultation with the asset owner before works commence as to seek guidance,telescopic goal post and warning signs to indicate max reach height,safe working area to be marked out by site engineer before works commence,gas oil to be stored in bunded tank all plant to be refuelled in designated area spill kits to be available in working area,traffic and pedestrians to be segregated from client’s assets in use,area of strategic water mains to be marked out and segregated from work activities no heavy plant to track over existing water mains in field,stop work if lizards found in work area and contact member of qes team,check with engineer question site manager for double check if needed,cat scan excavation area mark known water main pipe line routs no heavy plant to track over existing water mains without protection cover,apply newt netting to minimise risk of intrusion into work area,area to be segregated with herras fencing before work commences,gas oil to be stored in bunded tank all plant to be refuelled in designated area spill kits to be available in working area,delivery of plant and materials to site coordination with delivery companies via access gate,gas oil to be stored in bunded tank all plant to be refuelled in designated area spill kits to be available in working area,all operatives to be face fit registered all operatives to wear pp3 masks for any grinding and cutting,no access to unauthorised areas unless granted by nwg no tampering with machinery or electrical equipment unless authorised to do so and transfer of control permit is in place,cat scan area use drawings and trial hole information to locate services and mark out use of machine to no more than 500mm from service,height restrictors to be set on machine when passing underneath the power lines"
placing concrete gas bag area,"dermatitis,dermatitis,dermatitis,dermatitis,dermatitis,dermatitis, noise,waste handling,dust inhalation,havs,flying particles,dermatitis,dermatitis,dermatitis,dermatitis,dermatitis,dermatitis","any contact with skin should be washed thoroughly with tap water,keep wet concrete off skin by using rubber gloves and long sleeved protective clothing ppe,if clothing or boots become impregnated with cement based materials remove and thoroughly clean or replace,ensure low energy impact glasses are worn,use wellington boots when placing wet concrete and ensure none gets inside boot,respiratory masks to be worn to avoid ingestion from splashes etc, operatives will wear ear defenders and carry out periodical noise monitoring exclusion zones implemented if action limits of 85db are reached,operatives will segregate all waste and store in an area agreed with site representative ready for removal from site to a central facility for reuse recycle or correct disposal,ffp3 face masks to be worn by operatives when cutting and dust suppression water,operatives will not exceed daily allowances for hav exposure,operatives will wear goggles to a suitable impact rating to prevent flying particles entering the eyes,any contact with skin should be washed thoroughly with tap water,keep wet concrete off skin by using rubber gloves and long sleeved protective clothing ppe,if clothing or boots become impregnated with cement based materials remove and thoroughly clean or replace,ensure low energy impact glasses are worn,use wellington boots when placing wet concrete and ensure none gets inside boot,respiratory masks to be worn to avoid ingestion from splashes etc"
plant checks,"contact dermatitis,plant movementandcrushing,burns,fall from height,fall from height,slips trips and falls,burns,plant movementandcrushing,plant movementandcrushing,trapping fingers,contact dermatitis,burns,slips trips and falls,slips trips and falls","wear gloves,ensure vehicle is on level ground or checked,allow to cool,machine on level ground,use 3 point contacts when climbing on or off any plantandvehicle clean boots,awareness of ground conditions,caution around hot machine parts,use chocks where possible,handbrake applied,use of support arm when required wear gloves and any other ppe as required competent operator,wash hands after checks,gloves and full ppe,keep boots clean,housekeeping"
plant mobilisation,"refuelling plant,noise,staff being struck by a train or otm,syringes sharps,buried services,staff being struck by a train or otm,working near ohle,staff being struck by a train or otm,public interface,buried services,refuelling plant,buried services,working near ohle,hazard substance,working near ohle,contamination,hazard substance,staff being struck by a train or otm,buried services,mobile telephones,buried services,buried services,refuelling plant,syringes sharps,refuelling plant,manual handling,working near ohle,coshh,buried services,syringes sharps,working near ohle,coshh,injury from use of powered tools,refuelling plant,contamination,syringes sharps,contamination,staff being struck by a train or otm,refuelling plant,encountering damaged cables,coshh,encountering damaged cables,loading platform with plant and materials,working near ohle,loading platform with plant and materials,manual handling,plant vehicle movements,plant vehicle movements,coshh,buried services,loading platform with plant and materials,working near ohle,loading platform with plant and materials,coshh,staff being struck by a train or otm,syringes sharps,buried services,working on or near the line,staff being struck by a train or otm,mobile telephones,encountering damaged cables,buried services,working near ohle,working on or near the line,plant vehicle movements,plant vehicle movements,encountering damaged cables","nappies to be placed under the plant when refuelling and funnels are used to ensure direct access into fuel tank,hearing protection in place exclusion zones around driving activities ear defenders during multiple acoustic blankets to be used on nights to reduce noise pollution use of a pedroller to compact tarmacstone and other manual tools over mechanical vehicles to have engines switched off when not in use,ensure safe system of work ssow in place applicable to the task and activity,do not disturb if encountered,select power tools with lowest vibration levels,careful planning of work,when working within 2,works on station platforms in high street environment controlled by site keeper or barriers,only licensed vehicles on public highway care around parked cars no plant to park on pavements caution to be exercised when at crossings and pavements banksman control at site entrances,use of curotec system to monitor exposure levels,ensure only trained personnel are used to refill any plant on site also ensure appropriate ppe is worn at all times,ensure there is room for the task and adopt a comfortable stance,materialsandequipment handled below shoulder height and carried horizontally at waist height,use under technical and manufactures specifications wear correct ppe overalls,no works will encroach,eating only permitted in vehicles after hand cleansing,trained and experienced operatives coshh certs to be in place and operatives briefed,coss appointed for works on or near the line,permit to break ground process completed by site agent or buried services coordinator no mechanical tools or machines within 500mm of buried services,mobile telephones to be switched off unless required for safety critical management duties,records to be kept of utilities found on site and new services installed on site,buried services drawings to be attached to permit and briefed to all involved,all fuel cans to be stored in a safe place to prevent a spark or fire funnels to be utilised as to ensure fuel is poured straight into tank avoiding spillages,exclusion zone to be established around the sharps,cleaning kits to be available at all times,split loads into manageable lifts 2 man lifts if required,works confined within heras fencing erected along site boundary to prevent encroaching,exposure times as per coshh assessment states,ensure tools are properly stored,all staff to remain vigilant and if encountered vacate the area,works on station platforms controlled by site keeper or barriers to prevent encroaching,ppe to be worn as recommended by coshh assessment,plant and work equipment havs keep hands warm and regular rotation of operatives to share havs exposure trigger times to be precalculated and individuals times to be clearly monitored,emergency spillage cleanup companies to be in place prior to works starting in case of incident all fuel to be stored in correct containers which are appropriately labelled,contact with contaminated locations identified in the hazard directory to be avoided,operatives to be briefed on the presence of the sharps,gloves to be worn at all times,operatives briefed by the coss on the safe system of work,coshh data sheets to be available on site and briefed to operatives working with hazardous materials,avoidance of cables where practicable,coshh assessments to be completed for all products on site,exclusion zone established around the damage cable,adequate exclusion zone to be marked out in accordance to the permanent afc design,alo plan for all plant operations whilst lines at site are open to traffic with live ohle to confirm that a minimum clearance of 3,5m away from platform edge as per tw,use mechanical aids instead of manual handling if possible use mandatory ppe gloves to protect against cuts and safety boots to protect from falling loads,trained competent operators and banksman check certification wear hivis at all times do not walk behind plant,segregate pedestrian and vehicle routes banksman to manage plant and vehicle movements escort while reversing,coshh to be stored in coshh approved area storage containers,mark up and support if necessary,plant must stay within exclusion zones,do not over sail the site boundary,materials must be stored,do not leave coshh with medium risk unattended,pts trained workforce and supervision,take note of the location and inform sco 24:7,permit to break the ground,support staff will set up the ssow in accordance with rule book task leader setting up a safe system of work within a possession be aware of the operational railway lines open and blocked to traffic all staff to be trained and competent,pos representation system of work and ensure clear understanding of responsibilities,if the need to use a mobile telephone arises you must agree with the supervisorandcoss that you can use it,notification to the utility service if the service is seen to be suspect,avoid continuous exposure,operatives to be pts aandc trained,inexperienced staff will be accompanied by a mentor,banksman to marshal delivery wagons when entering and exiting site,close all access gates following deliveries,remote visual inspection to determine damage to cables before inspectionandmeasurement"
